id,app,category,description,auth,access,access_detail,surface,verdict,blocker,note,sources,mcp_kind,mcp_scope,mcp_url
11,Zendesk,Support & Helpdesk,Customer service tickets and knowledge base,OAuth2,Admin / paid,Admin configures OAuth client; distributed integrations require a global OAuth client.,"REST; tickets, users, help center and voice",Conditional,Admin,"API tokens are deprecated and unavailable for new accounts from July 28, 2026; migrate to OAuth.",https://developer.zendesk.com/api-reference/introduction/security-and-auth/; https://developer.zendesk.com/documentation/authentication/oauth-migration/,,,
12,Intercom,Support & Helpdesk,Customer conversations and AI support,OAuth2; Token,Sandbox,Development workspace supplies a token; production features and public-app review are separate.,"REST; contacts, conversations, teams and help content",Build,None,Public apps require OAuth; development workspaces have reduced functionality.,https://developers.intercom.com/docs/build-an-integration/getting-started; https://developers.intercom.com/docs/build-an-integration/learn-more/authentication/setting-up-oauth,Official,US-hosted workspaces only per checked docs,https://developers.intercom.com/docs/guides/mcp
13,Freshdesk,Support & Helpdesk,Ticket-based customer support,API key; Basic,Trial,Trial API limit explicitly documented at 50 calls/minute.,"REST; tickets, contacts, companies and knowledge base",Build,None,API key is sent through HTTP Basic; apply plan-specific throttling.,https://developers.freshdesk.com/api/,,,
14,Front,Support & Helpdesk,Shared inbox and customer operations,OAuth2; Token,Admin / paid,Company-level token needs admin privileges; public integrations use OAuth; free access not established.,"REST; conversations, inboxes, contacts and messages",Conditional,Admin,New official MCP beta supersedes older third-party claims that no native server exists.,https://dev.frontapp.com/docs/create-and-revoke-api-tokens; https://dev.frontapp.com/docs/core-api-getting-started; https://dev.frontapp.com/reference/introduction,Official beta,Inbox workflows; workspace admin/private app path,https://help.front.com/en/articles/4883136
15,Pylon,Support & Helpdesk,B2B support across chat and ticket channels,Token,Admin / paid,Only admins can create API tokens; an existing workspace is required.,"REST; issues, accounts, contacts and knowledge base",Conditional,Admin,Use a scoped operational workflow; quotas differ by endpoint.,https://docs.usepylon.com/pylon-docs/developer/api; https://docs.usepylon.com/pylon-docs/developer/api/authentication; https://docs.usepylon.com/pylon-docs/developer/api/api-reference,Official,Pylon support workspace,https://support.usepylon.com/articles/2407390554-connecting-to-the-pylon-mcp-server
16,LiveAgent,Support & Helpdesk,"Helpdesk with tickets, chat and calls",API key,Admin / paid,Admin generates API v3 keys; free/trial API entitlement not established.,"REST; tickets, messages and support resources",Conditional,Admin,v1 and v3 keys are not interchangeable; explicitly target v3.,https://support.liveagent.com/802463-REST-API; https://support.liveagent.com/741982-API-key,,,
17,Plain,Support & Helpdesk,API-first B2B customer support,API key,Trial,Seven-day trial; scoped API keys created in workspace.,"GraphQL; customers, threads, events and assignment",Build,None,GraphQL is the primary data API; a REST-only wrapper would misrepresent the interface.,https://www.plain.com/docs/graphql/introduction; https://www.plain.com/docs/graphql/authentication; https://help.plain.com/article/pricing,Official,Support workflow tools; vendor describes its server,https://www.plain.com/blog/mcp-customer-support-2026
18,Help Scout,Support & Helpdesk,Shared support inbox and help content,OAuth2,Paid,Paid plans have differing API access levels; verify the required endpoint tier.,"REST; inboxes, conversations, customers and users",Conditional,Subscription,Authorization-code and client-credentials flows serve different integration models.,https://developer.helpscout.com/mailbox-api/overview/authentication/; https://developer.helpscout.com/mailbox-api/; https://docs.helpscout.com/article/1140-mailbox-api,,,
19,Gorgias,Support & Helpdesk,Ecommerce-focused support operations,OAuth2; API key,Account check,Private apps use API keys; public apps require OAuth and approval; trial entitlement not verified.,"REST; tickets, customers and support operations",Conditional,Approval,Do not ship a multi-customer app with collected private API keys.,https://developers.gorgias.com/reference/authentication; https://developers.gorgias.com/docs/oauth2-authentication-for-creating-apps-with-gorgias,,,
20,Gladly,Support & Helpdesk,Customer-centered omnichannel support,Token; Basic,Account check,API token created in a customer account; free sandbox access not established.,"REST; customers, conversations, tasks and events",Conditional,Customer access,Token-based Basic authentication; a commercial tenant remains a prerequisite.,https://developer.gladly.com/rest/,,,
21,Slack,Communications,Team messaging and collaboration,OAuth2; Token,Sandbox,Developer sandbox available; workspace app approval and scopes can restrict installation.,"HTTP Web API + events; messages, channels, users and files",Build,Admin,A token does not grant access to every conversation; scopes and membership still apply.,https://docs.slack.dev/authentication/installing-with-oauth/; https://docs.slack.dev/reference/methods/admin.apps.approve/,Official,Slack account access; distinct from Slackbot as MCP client,https://slack.com/help/articles/48855576908307-Guide-to-Model-Context-Protocol-in-Slack
22,Twilio,Communications,Programmable messaging and voice,API key; Basic; Token,Trial,Free trial exposes Account SID and Auth Token; production messaging has additional requirements.,"REST; SMS, voice, numbers and verification",Build,Production entitlement,Separate trial restrictions and usage charges from the ability to get credentials.,https://www.twilio.com/docs/usage/tutorials/how-to-use-your-free-trial-account; https://www.twilio.com/docs/iam/api-keys,,,
23,Zoho Cliq,Communications,"Team chat, channels and bots",OAuth2,Account check,Register a Zoho client and authorize a workspace; free API entitlement not separately verified.,"REST; messages, channels, users and bots",Conditional,Plan check,Use the Zoho-oauthtoken header and correct regional account endpoints.,https://www.zoho.com/cliq/help/restapi/v3/introduction/; https://www.zoho.com/cliq/help/restapi/v3/oauth/,,,
24,Lark (Larksuite),Communications,"Integrated chat, docs and workplace suite",OAuth2; Token,Admin / paid,App ID and secret plus user/tenant authorization; organization approval and scopes may apply.,"REST; messaging, docs, calendars, base and contacts",Conditional,Admin,Official MCP supports user and tenant token modes; validate the chosen app's permissions.,https://github.com/larksuite/lark-openapi-mcp/blob/main/docs/usage/configuration/configuration.md; https://open.larksuite.com/,Official,User/tenant token modes and selected OpenAPI tools,https://github.com/larksuite/lark-openapi-mcp/blob/main/docs/usage/configuration/configuration.md
25,Pumble,Communications,Team chat and collaboration,API key; Token,Free,API and integrations available across subscriptions; install the API-key integration.,"REST; messaging, channels and workspace operations",Build,None,"MCP configuration requires the documented token headers, not a guessed generic bearer flow.",https://pumble.com/help/integrations/automation-workflow-integrations/api-keys-integration/; https://pumble.com/integrations/plaky,Official,Messaging and workspace actions,https://pumble.com/help/integrations/automation-workflow-integrations/how-to-use-the-pumble-mcp-server/
26,Discord,Communications,Community chat and bot platform,OAuth2; Token,Account check,Developer app and bot token; server authorization and privileged-intent approval may limit scope.,"REST + Gateway; guilds, channels, messages and interactions",Conditional,Approval,Build around bot permissions; do not treat a user login session as a bot API credential.,https://docs.discord.com/developers/docs/interactions/slash-commands; https://discord.com/developers/docs/topics/oauth2,,,
27,Telegram,Communications,Messaging and bots,Token,Free,Create a bot through BotFather; bot token is sufficient for the Bot API.,"HTTP Bot API; messages, files and chat management",Build,None,Bot capabilities differ from Telegram user-account APIs; label this as the Bot API toolkit.,https://core.telegram.org/bots/api; https://core.telegram.org/bots/features,,,
28,WhatsApp Business,Communications,Business messaging over WhatsApp,Token,Sandbox,Meta provides test credentials/number; production requires a business setup and messaging permissions.,"Graph HTTP API; messages, templates, numbers and webhooks",Build,Production entitlement,Use scoped system-user tokens for deployment; do not equate a temporary test token with production approval.,https://www.postman.com/meta/whatsapp-business-platform/documentation/wlk6lh4/whatsapp-cloud-api; https://whatsapp.github.io/WhatsApp-Nodejs-SDK/,,,
29,Aircall,Communications,Cloud phone and call-center operations,OAuth2; Basic; API key,Account check,Account API credentials or OAuth integration; free developer entitlement not established.,"REST; calls, contacts, users and numbers",Conditional,Customer access,Basic credentials and OAuth are both supported; production requires access to a customer account.,https://developer.aircall.io/docs/authentication; https://developer.aircall.io/tutorials/,,,
30,Vonage,Communications,Programmable communications and identity,API key; Basic; JWT,Trial,Developer site offers a trial; credentials and billing constraints vary by API product.,"REST; messaging, voice and verification",Build,Production entitlement,"Some products require application JWTs, others key/secret Basic auth; avoid one auth adapter for all APIs.",https://developer.vonage.com/en/getting-started/concepts/authentication; https://developer.vonage.com/en/messages/technical-details; https://developer.vonage.com,,,
31,Google Ads,Marketing & Social,Search advertising campaign management,OAuth2,Approval,Test access is distinct from production; developer token and access-level review generally apply.,"REST + gRPC; campaigns, reporting and account resources",Conditional,Approval,OAuth is necessary but insufficient; verify developer-token access level and current Cloud-managed pilot rules.,https://developers.google.com/google-ads/api/docs/oauth/overview; https://developers.google.com/google-ads/api/docs/api-policy/access-levels; https://developers.google.com/google-ads/api/docs/api-policy/developer-token,,,
32,Meta Ads,Marketing & Social,Advertising on Meta properties,OAuth2; Token,Approval,Own-account testing is distinct from managing other customers' accounts; permissions require review.,"Graph HTTP API; campaigns, audiences, creatives and insights",Conditional,Approval,Meta Graph API is not GraphQL; recent access-tier naming changes warrant checking the exact product permission.,https://www.postman.com/meta/facebook-marketing-api/documentation/0zr4mes/facebook-marketing-api-mapi; https://github.com/facebook/facebook-nodejs-business-sdk/blob/main/README.md,,,
33,LinkedIn Ads,Marketing & Social,Professional-audience advertising,OAuth2,Approval,Advertising API access requires approval; consumer sign-in access does not include Marketing APIs.,"REST; ad accounts, campaigns, creatives and reporting",Conditional,Approval,Start outreach and access application before promising a production toolkit.,https://learn.microsoft.com/en-us/linkedin/shared/authentication/getting-access; https://learn.microsoft.com/en-us/linkedin/marketing/increasing-access?view=li-lms-2026-03,,,
34,GoHighLevel,Marketing & Social,Agency CRM and marketing automation,OAuth2; Token,Sandbox,Private Integration Tokens have a documented sandbox path; paid production capabilities need plan verification.,"REST; contacts, calendars, opportunities and marketing",Build,Production entitlement,Use OAuth for customer distribution; PITs suit controlled private integrations.,https://marketplace.gohighlevel.com/docs/Authorization/PrivateIntegrationsToken/; https://marketplace.gohighlevel.com/docs/oauth/SandboxPIT/,,,
35,Mailchimp,Marketing & Social,Email marketing and audience management,OAuth2; API key; Basic,Account check,Key creation and OAuth paths are self-managed; free-plan eligibility for each target feature needs confirmation.,"REST; audiences, campaigns, automations and reporting",Conditional,Plan check,The marketing API is REST; unrelated GraphQL mentions on the landing page are not its protocol.,https://mailchimp.com/developer/marketing/guides/quick-start/; https://mailchimp.com/developer/marketing/docs/fundamentals/,,,
36,Klaviyo,Marketing & Social,Customer marketing and lifecycle messaging,OAuth2; API key,Account check,Private scoped keys from account settings; public client keys have limited scope; plan quotas need confirmation.,"REST; profiles, events, lists, campaigns and flows",Conditional,Plan check,Do not confuse public tracking keys with privileged server-side API credentials.,https://developers.klaviyo.com/en/reference/api_overview; https://developers.klaviyo.com/en/v2026-01-15/docs/authenticate_,,,
37,systeme.io,Marketing & Social,"Funnels, email and digital-product sales",API key,Account check,Public API key generated in account settings; pricing entitlement not settled by the setup article.,Public HTTP API; contact and sales-workflow integrations,Conditional,Plan check,"Public API means documented interface, not unauthenticated access.",https://help.systeme.io/article/2323-how-to-use-systeme-io-public-api,,,
38,Pinterest,Marketing & Social,"Visual discovery, publishing and ads",OAuth2,Approval,App approval grants Trial access; broader Standard access requires further review.,"REST; pins, boards and advertising resources",Conditional,Approval,A tier named Trial is still approval-gated; it is not necessarily instant self-serve access.,https://developers.pinterest.com/docs/key-concepts/access-tiers/; https://developers.pinterest.com/docs/developer-tools/sandbox/,,,
39,Threads (Meta),Marketing & Social,Social publishing and engagement,OAuth2; Token,Account check,Meta app with Threads use case and authorized user; broader distribution permissions need review.,"HTTP Graph API; publish, retrieve and manage Threads content",Conditional,Approval,Threads tokens and permissions differ from Meta Ads; avoid reusing an unrelated Meta token.,https://www.postman.com/meta/threads/collection/dht3nzz/threads-api; https://www.postman.com/meta/threads/documentation/dht3nzz/threads-api,,,
40,SendGrid,Marketing & Social,Transactional and marketing email delivery,API key,Account check,Create the first key in SendGrid UI; sender verification and current trial availability need confirmation.,"REST; mail send, templates, contacts and statistics",Conditional,Customer access,API authorization and permission to send as a domain are different setup steps.,https://www.twilio.com/docs/sendgrid/api-reference/how-to-use-the-sendgrid-v3-api/authentication; https://www.twilio.com/docs/sendgrid/ui/account-and-settings/api-keys,,,
41,Shopify,Ecommerce,Online stores and merchant operations,OAuth2; Token,Sandbox,Development store/app path; merchant authorization for production and review for public distribution.,"GraphQL Admin; broad products, orders and inventory",Build,Approval,Use modern app authorization; legacy admin-created custom-app instructions are not the default for new builds.,https://shopify.dev/docs/apps/build/authentication-authorization; https://shopify.dev/docs/apps/build/authentication-authorization/access-tokens,Official; partial,"Storefront shopping, catalog and cart; not full Admin API",https://shopify.dev/docs/apps/build/storefront-mcp/servers/storefront
42,WooCommerce,Ecommerce,Open-source WordPress ecommerce,API key; Basic,Local,Install WooCommerce on an owned test site; generate keys for a permitted user.,"REST; products, orders, customers and coupons",Build,Runtime,Consumer key/secret via HTTPS Basic auth; hosting and user permissions are the operational prerequisites.,https://developer.woocommerce.com/docs/apis/rest-api/authentication; https://developer.woocommerce.com/docs/apis/rest-api/,,,
43,BigCommerce,Ecommerce,Hosted ecommerce platform,OAuth2; Token,Account check,Store/API-account credentials and scoped access; trial eligibility not independently verified.,"REST + GraphQL; catalog, orders, storefront and account operations",Conditional,Customer access,Storefront MCP beta is not equivalent to full merchant Admin API coverage.,https://developer.bigcommerce.com; https://developer.bigcommerce.com/resource-hub/bigcommercedevs-recap-h1-23,Official beta; partial,Storefront commerce; not full management API,https://docs.bigcommerce.com/developer/api-reference/mcp/overview
44,Salesforce Commerce Cloud,Ecommerce,Enterprise digital commerce,OAuth2; JWT,Admin / paid,Commerce tenant and Account Manager client required; customer/admin provisioning.,REST SCAPI; shopper and administrative commerce APIs,Conditional,Admin,Shopper SLAS and Admin API tokens follow different authorization paths.,https://developer.salesforce.com/docs/commerce/sfra/guide/authorization.html; https://developer.salesforce.com/docs/commerce/commerce-api/guide/security.html,,,
45,Magento (Adobe Commerce),Ecommerce,Customizable commerce platform,OAuth2; OAuth1; Token,Local,Magento Open Source can be self-hosted; Adobe Commerce SaaS is separately licensed.,"REST + GraphQL; catalog, checkout, orders and administration",Build,Runtime,SaaS uses Adobe IMS OAuth2; traditional installations have different integration/token flows.,https://developer.adobe.com/commerce/webapi/rest/authentication/; https://developer.adobe.com/commerce/webapi/get-started/authentication/gs-authentication-token; https://developer.adobe.com/commerce/webapi/graphql/usage/authorization-tokens,,,
46,Squarespace,Ecommerce,Website and commerce builder,OAuth2; API key,Paid,Commerce Advanced plan documented for custom applications; OAuth client registration is a separate path.,"REST; commerce products, inventory, orders and transactions",Conditional,Subscription,Custom API-key applications require Commerce Advanced; OAuth Extensions can serve customers on any plan. This row classifies the custom-app path.,https://developers.squarespace.com/commerce-apis/authentication-and-permissions; https://developers.squarespace.com/commerce-apis/making-requests,,,
47,Ecwid,Ecommerce,Embedded online storefronts,OAuth2; Token,Paid,Only paid stores can access the API; conditional developer upgrades are available.,"REST; catalog, orders, customers and store settings",Conditional,Subscription,Custom apps can use store-specific tokens; partner distribution needs the documented app process.,https://docs.ecwid.com/get-started/set-up-your-dev-environment-in-ecwid; https://docs.ecwid.com/develop-apps/app-settings,,,
48,Gumroad,Ecommerce,Digital-product storefront and sales,OAuth2; Token,Account check,Own-account access token or OAuth app; free access needs confirmation from the live API page.,"REST + CLI; products, sales, files, subscriptions and licenses",Conditional,Plan check,"Browser verified OAuth2, scoped tokens and a broad REST API plus official CLI; license verification has a separate unauthenticated path.",https://gumroad.com/api,,,
49,Amazon Selling Partner,Ecommerce,Amazon seller and vendor operations,OAuth2; Token,Approval,"Developer registration, role qualification and seller/vendor authorization required.","REST; catalog, orders, inventory, reports and fulfillment",Conditional,Approval,Sandbox support does not waive onboarding or restricted-data requirements.,https://developer-docs.amazon.com/sp-api/docs/onboarding-overview; https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/sp-api-registration-overview,,,
50,fanbasis,Ecommerce,Creator commerce and payments,API key,Account check,Merchant account required; onboarding and free sandbox eligibility need vendor confirmation.,"Public API; checkout, seller and transaction operations",Conditional,Customer access,Published docs show x-api-key; verify merchant eligibility before estimating delivery.,https://apidocs.fan/; https://demo.embedded.fanbasis.io/docs/getting-started,,,
51,DataForSEO,Data & SEO,"SEO, search and market datasets",Basic,Account check,API login/password from account API-access settings; usable test-credit entitlement not verified.,"REST; SERP, keywords, backlinks and on-page data",Conditional,Plan check,Async task endpoints need polling and explicit cost budgets; credentials are not OAuth.,https://docs.dataforseo.com/v3/on_page-page_screenshot/; https://docs.dataforseo.com,Official,SEO and data tools,https://dataforseo.com/help-center/setting-up-the-official-dataforseo-mcp-server-simple-guide
52,SE Ranking,Data & SEO,SEO analytics and rankings,API key,Paid,Subscription/credit-based Data API; Project API consumes subscription limits.,REST; SEO datasets and project operations,Conditional,Subscription,Separate Data API credit balances from Project API subscription quotas.,https://seranking.com/api/how-to-get-api/; https://seranking.com/api/project/getting-started/,,,
53,Ahrefs,Data & SEO,"SEO, backlinks and competitive research",API key; OAuth2,Paid,MCP available on Lite or higher; API entitlement and units vary by plan.,"REST; SEO analytics, backlinks and keywords",Conditional,Subscription,Older enterprise-only blanket claims are unsafe; check endpoint and plan rather than brand alone.,https://ahrefs.com/api; https://docs.ahrefs.com/en/mcp/docs/introduction,Official,SEO research; Lite plan or higher,https://docs.ahrefs.com/en/mcp/docs/introduction
54,MrScraper,Data & SEO,Web scraping and structured extraction,API key; Token,Account check,Account API token; subscription quota and any free allowance require confirmation.,"REST; scraping jobs, results, search and account status",Conditional,Plan check,Official CLI/MCP exists; account credits still govern execution.,https://docs.mrscraper.com/docs/api/authentication; https://docs.mrscraper.com/docs/getting-started/mcp-server,Official,"Scrape, search, status and results",https://docs.mrscraper.com/docs/getting-started/mcp-server
55,Apify,Data & SEO,Hosted scraping and automation Actors,Token; OAuth2,Account check,Account API token; Actor-specific cost and free-tier limits must be checked.,"REST; Actor runs, datasets, storage and schedules",Conditional,Plan check,"MCP can invoke Actors, but Actor availability does not guarantee a target website can be scraped.",https://docs.apify.com; https://github.com/apify/apify-mcp-server,Official,Run Apify Actors and access results,https://github.com/apify/apify-mcp-server
56,Firecrawl,Data & SEO,Web crawling and structured extraction,API key,Free,"Self-serve API key with 1,000 monthly free credits stated on current homepage; no card required.","REST; scrape, crawl, map, search and extraction",Build,None,A crawl is an asynchronous job; implement status handling and explicit credit limits.,https://docs.firecrawl.dev/features/stealth-mode; https://docs.firecrawl.dev; https://www.firecrawl.dev/,Official,Web scrape and crawl tools,https://github.com/firecrawl/firecrawl-mcp-server
57,Bright Data,Data & SEO,Web data extraction and proxy infrastructure,API key,Free,Official MCP documents a free tier; paid tools and product-specific billing remain separate.,"REST + MCP; scraping, search and browser/data products",Build,Production entitlement,Free MCP access is not a blanket entitlement to every paid dataset or proxy product.,https://docs.brightdata.com/ai/mcp-server/overview,Official,Free and paid web data tools; quotas differ,https://docs.brightdata.com/ai/mcp-server/overview
58,Sherlock,Data & SEO,Open-source username discovery across websites,None,Local,Local open-source CLI; no vendor account credential.,"CLI; username lookup and report output, not a hosted REST API",Build,Runtime,Wrap a subprocess with bounded inputs/timeouts; site changes and false positives need validation.,https://github.com/sherlock-project/sherlock,,,
59,Waterfall.io,Data & SEO,B2B contact/company enrichment,API key,Account check,Vendor examples show API keys; access provisioning and free trial not established.,HTTP API; enrichment and contact search,Conditional,Customer access,Different examples use different key headers; confirm the endpoint-specific contract before coding.,https://www.waterfall.io/; https://www.waterfall.io/product/contact-search,,,
60,Clay,Data & SEO,GTM data enrichment and workflows,API key; OAuth2,Account check,First-party agent docs describe a keyed REST API and OAuth CLI; feature/plan entitlement needs verification.,REST/workflow calls and webhooks; exact general CRUD breadth unresolved,Conditional,Plan check,Do not confuse Clay's outbound HTTP integration with its own API; validate the routine/workflow contract.,https://agent-docs.clay.com/blog/implementation-guide/we-want-to-test-two-versions-of-an-outbound-sequence-without-spinning-up-a-whole-new-campaign-each-t-fdd053; https://university.clay.com/docs/webhook-integration-guide; https://www.clay.com/pricing,,,
61,GitHub,Developer & Infra,Code hosting and developer collaboration,OAuth2; Token; JWT,Free,Personal tokens or registered apps; organization approval/SSO may restrict customer resources.,"REST + GraphQL; repos, issues, PRs, actions and administration",Build,Admin,Prefer a least-privilege GitHub App for multi-tenant automation; personal tokens suit prototypes.,https://docs.github.com/en/authentication/keeping-your-account-and-data-secure/about-authentication-to-github; https://docs.github.com/rest; https://docs.github.com/en/rest/about-the-rest-api/about-the-openapi-description-for-the-rest-api,Official,GitHub repository and collaboration resources,https://github.com/github/github-mcp-server
62,Vercel,Developer & Infra,Application deployment and hosting,Token; OAuth2,Account check,Account access tokens; plan-specific deployment/resource limits need verification.,"REST; projects, deployments, domains and teams",Conditional,Plan check,A platform that hosts MCP servers does not by itself prove a native account-management MCP exists.,https://vercel.com/docs/rest-api,Official,Vercel deployment/project workflows,https://vercel.com/docs/agent-resources/vercel-mcp
63,Netlify,Developer & Infra,Web hosting and deployment workflows,OAuth2; Token,Account check,Generate a personal access token or register OAuth application; team access is explicit.,"REST; sites, builds, deployments and team resources",Conditional,Plan check,Separate API availability from build/runtime usage credits.,https://docs.netlify.com/api-and-cli-guides/api-guides/get-started-with-api/; https://docs.netlify.com/manage/accounts-and-billing/user-settings/,Official,"Build, deploy and manage Netlify resources",https://github.com/netlify/netlify-mcp
64,Cloudflare,Developer & Infra,"Edge infrastructure, DNS and security",Token; API key,Account check,Create a scoped token in dashboard; product entitlement and account role govern each service.,REST + GraphQL analytics; broad infrastructure resources,Conditional,Plan check,A single broad global key is not required; scope the token to target resources.,https://developers.cloudflare.com/fundamentals/api/get-started/create-token/; https://developers.cloudflare.com/api,Official,Cloudflare API plus product-specific servers,https://developers.cloudflare.com/agents/model-context-protocol/cloudflare/servers-for-cloudflare/
65,Supabase,Developer & Infra,Hosted Postgres and backend services,OAuth2; Token; API key,Free,Two free projects plus project API credentials support a scoped database prototype; management roles and quotas still apply.,"Management REST; project REST/GraphQL, storage and auth",Build,None,Free project route is inferred from billing and project API docs; keep project keys separate from management tokens and enforce row-level security.,https://supabase.com/docs/reference/api/introduction; https://supabase.com/docs/guides/platform/personal-access-tokens; https://supabase.com/docs; https://supabase.com/docs/guides/platform/billing-on-supabase,Official,Management/project capabilities; PAT permissions apply,https://supabase.com/docs/guides/platform/personal-access-tokens
66,Neo4j,Developer & Infra,Graph database and managed graph hosting,Basic; Token; OAuth2,Local,Self-hosted database credentials; Aura management has separate client credentials and entitlements.,HTTP Query API + Aura management; Cypher queries and infrastructure,Build,Runtime,Basic/Bearer database query auth and Aura OAuth are distinct; a graph database is not a GraphQL API.,https://neo4j.com/docs/query-api/current/authentication-authorization/; https://neo4j.com/docs/aura/api/authentication/,Official,Schema introspection and Cypher read/write; database credentials and optional read-only mode,https://neo4j.com/docs/mcp/current/tools/
67,Snowflake,Developer & Infra,Cloud data warehouse and data platform,OAuth2; JWT; Token,Account check,Account role and authentication policy required; trial eligibility not verified in this pass.,REST + SQL API; query execution and platform resources,Conditional,Customer access,"Key-pair JWT, OAuth and programmatic access tokens are supported; role and network policy still constrain use.",https://docs.snowflake.com/en/en/developer-guide/snowflake-rest-api/authentication; https://docs.snowflake.com/en/developer-guide/snowflake-rest-api/tutorials/common-setup,Official,Managed Cortex Analyst/Search/Agents and configured SQL/custom tools; OAuth and RBAC,https://docs.snowflake.com/en/user-guide/snowflake-cortex/cortex-agents-mcp
68,MongoDB Atlas,Developer & Infra,Managed MongoDB database infrastructure,OAuth2; Digest,Admin / paid,Organization/project service account or API key; permissions and network access configuration apply.,"REST Admin API; clusters, projects, users and configuration",Conditional,Admin,This verdict concerns management APIs; do not substitute the retired Atlas Data API for database access.,https://www.mongodb.com/docs/api/doc/atlas-admin-api-v2/preview/authentication; https://mongodb.com/docs/atlas/api,Official,Local or Atlas-managed data and cluster operations; setup and roles differ,https://www.mongodb.com/docs/mcp-server/overview/
69,Datadog,Developer & Infra,"Monitoring, logs and observability",API key,Account check,Organization API key plus application key for many operations; role and site-specific endpoint apply.,"REST; metrics, logs, monitors, dashboards and incidents",Conditional,Customer access,One API key alone is insufficient for many read/admin operations.,https://docs.datadoghq.com/api/latest/authentication/; https://docs.datadoghq.com/api/latest/,Official,Remote observability tools; separate local Code Security MCP and site restrictions,https://docs.datadoghq.com/mcp_server/
