id	category	app	url
62	Developer & Infra	Vercel	https://vercel.com/docs/rest-api
63	Developer & Infra	Netlify	https://docs.netlify.com/api
64	Developer & Infra	Cloudflare	https://developers.cloudflare.com/api
65	Developer & Infra	Supabase	https://supabase.com/docs
66	Developer & Infra	Neo4j	https://neo4j.com/docs/api
67	Developer & Infra	Snowflake	https://docs.snowflake.com
68	Developer & Infra	MongoDB Atlas	https://mongodb.com/docs/atlas/api
69	Developer & Infra	Datadog	https://docs.datadoghq.com/api
70	Developer & Infra	Sentry	https://docs.sentry.io/api
71	Productivity	Notion	https://developers.notion.com
72	Productivity	Airtable	https://airtable.com/developers
73	Productivity	Linear	https://developers.linear.app
74	Productivity	Jira	https://developer.atlassian.com
75	Productivity	Asana	https://developers.asana.com
76	Productivity	Monday.com	https://developer.monday.com
77	Productivity	ClickUp	https://clickup.com/api
78	Productivity	Coda	https://coda.io/developers
79	Productivity	Smartsheet	https://smartsheet.com/developers
80	Productivity	Harvest	https://help.getharvest.com/api-v2
81	Finance & Fintech	Stripe	https://stripe.com/docs/api
82	Finance & Fintech	Plaid	https://plaid.com/docs
83	Finance & Fintech	Binance	https://binance-docs.github.io
84	Finance & Fintech	Paygent Connect	
85	Finance & Fintech	iPayX	https://ipayx.ai/docs
86	Finance & Fintech	QuickBooks	https://developer.intuit.com
87	Finance & Fintech	Xero	https://developer.xero.com
88	Finance & Fintech	Brex	https://developer.brex.com
89	Finance & Fintech	Ramp	https://docs.ramp.com
90	Finance & Fintech	PitchBook	https://pitchbook.com
91	AI & Media	NotebookLM	https://cloud.google.com/gemini
92	AI & Media	Otter AI	https://help.otter.ai
93	AI & Media	Fathom	https://fathom.video
94	AI & Media	Consensus	https://consensus.app
95	AI & Media	Reducto	https://reducto.ai
96	AI & Media	Devin	https://docs.devin.ai
97	AI & Media	higgsfield	https://higgsfield.ai/cli
98	AI & Media	Mermaid CLI	https://github.com/mermaid-js/mermaid-cli
99	AI & Media	YouTube Transcript	https://transcriptapi.com
100	AI & Media	Grain	https://grain.com
